"transactionNubmer","milliseconds"
"6","50475,539000000004"
"6","51215,012"
"7","59629,794"
"7","60486,864"
"7","60744,446"
"7","61519,177"
"7","61411,049"
"7","61152,771"
"7","61092,305"
"7","64276,028"
"7","62842,590000000004"
"7","62643,746"
"7","63588,859000000004"
"7","62434,952000000005"
"7","63516,522000000004"
"7","64100,971"
"7","63504,696"
"7","64071,031"
"7","64070,082"
"7","63212,295"
"7","63427,51"
"7","62185,651"
"7","63807,572"
"7","64182,806000000004"
"7","64529,444"
"7","64349,676"
"7","64484,219000000005"
"7","64994,426"
"7","65065,967000000004"
"7","63728,054000000004"
"7","64615,449"
"7","63826,8"
"7","62890,906"
"7","65036,095"
"7","64944,079"
"7","64579,433000000005"
"7","63617,245"
"7","62821,929000000004"
"7","65592,207"
"7","64221,568"
"7","62337,347"
"7","64032,678"
"7","64917,546"
"7","64145,506"
"7","62762,249"
"7","64020,086"
"7","62386,29"
"7","61788,445"
"7","61526,474"
"7","63455,154"
"7","63336,461"
"7","60469,006"
